class_name,feature,n_samples,spearman_conflict_vs_shap_range,spearman_conflict_vs_shap_variance,spearman_conflict_vs_sign_instability,mean_shap_range,mean_shap_variance,mean_sign_instability
attack,cat__flag_OTH,256,,,,0.0,0.0,0.0
attack,cat__flag_REJ,256,-0.10105838036370059,-0.08010592280899374,-0.10506386528979184,0.1331604734889993,0.0031363099721264023,0.01614583333333333
attack,cat__flag_RSTO,256,-0.08711314403410288,-0.08030351491297177,0.006656567670053414,0.1376769381458871,0.012708220526104742,0.00026041666666666666
attack,cat__flag_RSTOS0,256,,,,0.0,0.0,0.0
attack,cat__flag_RSTR,256,0.16899908957268683,0.06860485548365639,0.06213389032075265,0.041824866213971745,0.0013247548811590386,0.007552083333333333
attack,cat__flag_S0,256,-0.08957678908260941,-0.07691151484421793,-0.10261217287212573,0.43148917971871015,0.018397585886568073,0.010677083333333334
attack,cat__flag_S1,256,-0.02789563203011083,-0.03377202416793953,0.013114110532953792,0.020523716460893092,0.001108677516572685,0.05520833333333333
attack,cat__flag_S2,256,0.03291274041193628,0.036114265373819364,-0.031125604240708316,0.010788022783675098,9.519342523167837e-06,0.20468750000000002
attack,cat__flag_S3,256,0.21872094002978595,0.21872094002978595,0.2418872594065432,0.060089370752393734,0.004715125507832915,0.0054687500000000005
attack,cat__flag_SF,256,-0.12911993272912525,-0.07913801120240595,-0.2825908826293616,0.31965493835059533,0.009169630935386414,0.28984374999999996
attack,cat__flag_SH,256,,,,0.0,0.0,0.0
attack,cat__protocol_type_icmp,256,-0.09614240737749934,0.00492571115581638,0.08681174029559499,0.10788620330492898,0.0014924213278553423,0.06406250000000001
attack,cat__protocol_type_tcp,256,0.10844507552431386,0.14214441201421205,0.027181425019125204,0.3552615995695305,0.019708994140995768,0.0875
attack,cat__protocol_type_udp,256,0.1488044229914299,0.1900665247465713,-0.016894230488407054,0.3780805583356823,0.028503935428641825,0.15651041666666665
attack,cat__service_IRC,256,,,,0.0,0.0,0.0
attack,cat__service_X11,256,,,,0.0,0.0,0.0
attack,cat__service_Z39_50,256,0.006175311537579228,0.09224639613759943,-0.15337860168805825,0.006249552995313831,3.0395364613735977e-06,0.3596354166666667
attack,cat__service_aol,256,,,,0.0,0.0,0.0
attack,cat__service_auth,256,-0.23496807609130102,-0.20408176494474814,-0.0163396462171538,0.01322297611886824,1.5503125279624596e-05,0.0018229166666666663
attack,cat__service_bgp,256,,,,0.0,0.0,0.0
attack,cat__service_courier,256,-0.019449258256821644,0.083424316354954,-0.1943205129783871,0.006655820920968735,4.019174074230526e-06,0.38750000000000007
attack,cat__service_csnet_ns,256,,,,0.0,0.0,0.0
attack,cat__service_ctf,256,0.22825408375137493,0.1566713268465216,0.2676243092801538,0.006372716394450268,3.4157601342370434e-06,0.23333333333333334
attack,cat__service_daytime,256,,,,0.0,0.0,0.0
attack,cat__service_discard,256,0.1499880919840063,0.12805987473893815,-0.0034450017990859576,0.008354262884363722,5.6876221760029845e-06,0.13776041666666666
attack,cat__service_domain,256,,,,0.0,0.0,0.0
attack,cat__service_domain_u,256,-0.03942817807507116,-0.05001638277587025,0.14255522090344172,0.08963578725956722,0.0017340170820564053,0.032812499999999994
attack,cat__service_echo,256,0.03348322391690269,0.05631679810977379,-0.03557234918189058,0.007573306756881877,4.442137531482901e-06,0.11015625
attack,cat__service_eco_i,256,-0.2304783326367923,-0.21916492928780962,0.10288424420878611,0.07846719528720311,0.0007349271616301958,0.07421875
attack,cat__service_ecr_i,256,0.1609767930882969,0.0994821347229154,-0.07621746666784926,0.06672455679336053,0.0007381583591046569,0.020833333333333336
attack,cat__service_efs,256,0.20560674875151658,0.2419007384151546,0.14534114617665375,0.014910896069522913,1.888641930983728e-05,0.3682291666666667
attack,cat__service_exec,256,,,,0.0,0.0,0.0
attack,cat__service_finger,256,0.07347962392333657,0.06956227888398085,0.06375752876907974,0.06085087032681703,0.00028202724323544287,0.10442708333333331
attack,cat__service_ftp,256,-0.23856141111542697,-0.28867701461324446,0.13189366570703986,0.0593567201886617,0.0035462920000313945,0.12942708333333333
attack,cat__service_ftp_data,256,-0.13492702778985688,-0.08962584288694608,-0.0747576188551066,0.1136127193135507,0.0048582738270201205,0.19895833333333335
attack,cat__service_gopher,256,,,,0.0,0.0,0.0
attack,cat__service_harvest,256,,,,0.0,0.0,0.0
attack,cat__service_hostnames,256,0.015706105730434065,-0.0475718815589229,0.06763997218808356,0.005476285149956696,2.687953535452176e-06,0.30833333333333335
attack,cat__service_http,256,0.08947420247285892,0.12451486102193081,0.1005552206428208,0.3386134279301132,0.012809806187756994,0.03411458333333332
attack,cat__service_http_443,256,,,,0.0,0.0,0.0
attack,cat__service_http_8001,256,,,,0.0,0.0,0.0
attack,cat__service_imap4,256,0.04203747986103795,0.10550348885445518,0.20160337522516444,0.10682132823893647,0.008198132920901956,0.07109374999999998
attack,cat__service_iso_tsap,256,0.029319411273158347,0.1034268240143148,0.009327473454792852,0.01290591301631129,1.5907474347374963e-05,0.3591145833333334
attack,cat__service_klogin,256,,,,0.0,0.0,0.0
attack,cat__service_kshell,256,0.20113907393029234,0.18977847365312467,0.17245622816538847,0.008015517715420986,4.9826576309652554e-06,0.37369791666666674
attack,cat__service_ldap,256,,,,0.0,0.0,0.0
attack,cat__service_link,256,0.11127687182362613,0.10364295597909853,0.23986336334129402,0.01811242660482993,2.6864374114424805e-05,0.32317708333333334
attack,cat__service_login,256,,,,0.0,0.0,0.0
attack,cat__service_mtp,256,,,,0.0,0.0,0.0
attack,cat__service_name,256,,,,0.0,0.0,0.0
attack,cat__service_netbios_dgm,256,0.020011126549971742,-0.07175843435976424,-0.2108811857933064,0.007123647923094624,3.9910026953823775e-06,0.35000000000000003
attack,cat__service_netbios_ns,256,,,,0.0,0.0,0.0
attack,cat__service_netbios_ssn,256,,,,0.0,0.0,0.0
attack,cat__service_netstat,256,,,,0.0,0.0,0.0
attack,cat__service_nnsp,256,,,,0.0,0.0,0.0
attack,cat__service_nntp,256,,,,0.0,0.0,0.0
attack,cat__service_ntp_u,256,,,,0.0,0.0,0.0
attack,cat__service_other,256,0.24703546453864744,0.2953156745991406,0.1317972527232946,0.09469621812149853,0.006444338631472457,0.0007812499999999998
attack,cat__service_pm_dump,256,,,,0.0,0.0,0.0
attack,cat__service_pop_2,256,,,,0.0,0.0,0.0
attack,cat__service_pop_3,256,-0.1590121002575776,-0.16010959796252622,,0.16246265755034983,0.02287918864996879,0.0
attack,cat__service_printer,256,,,,0.0,0.0,0.0
attack,cat__service_private,256,0.03912587888657706,0.04863418702188071,-0.1668429387889475,0.28153119091075496,0.01324993441699662,0.00859375
attack,cat__service_red_i,256,,,,0.0,0.0,0.0
attack,cat__service_remote_job,256,,,,0.0,0.0,0.0
attack,cat__service_rje,256,-0.040976298134465496,-0.04635599878996624,0.02150881377982244,0.008673988134887525,4.879357050488403e-06,0.29661458333333335
attack,cat__service_shell,256,,,,0.0,0.0,0.0
attack,cat__service_smtp,256,-0.017660266453480976,-0.0036757417165038885,0.0468370598804349,0.050349162733709776,0.00027400372660928103,0.06848958333333333
attack,cat__service_sql_net,256,0.11836205089841306,0.06424213625690404,0.11563034558922859,0.005408741052178709,2.4152966322628234e-06,0.2947916666666667
attack,cat__service_ssh,256,,,,0.0,0.0,0.0
attack,cat__service_sunrpc,256,0.10484647764781627,0.1392301889881853,0.020478503538047716,0.042910240081255234,0.002639322828224427,0.33723958333333337
attack,cat__service_supdup,256,0.20266136215365643,0.2922587370521735,0.02165481727678711,0.007331782195933457,4.368434755895038e-06,0.35234375
attack,cat__service_systat,256,-0.1330564288724537,-0.000965664133817082,0.023950054553126047,0.012655875760465497,1.35747529670988e-05,0.09296874999999999
attack,cat__service_telnet,256,0.11727025104794599,0.11188879711606364,0.1117048615976554,0.14831850619520992,0.010941994331002711,0.028385416666666666
attack,cat__service_tftp_u,256,,,,0.0,0.0,0.0
attack,cat__service_tim_i,256,-0.0670094478785377,-0.0670094478785377,-0.0670094478785377,0.012125240406021476,0.00213376463210456,0.0005208333333333333
attack,cat__service_time,256,-0.0034588618311344015,-0.04635225300201505,-0.14812391812293912,0.02288683598573007,3.895875357704415e-05,0.1765625
attack,cat__service_urh_i,256,,,,0.0,0.0,0.0
attack,cat__service_urp_i,256,-0.20472622351473535,-0.22089211211210386,-0.0670094478785377,0.020946402385334295,3.0563331902809014e-05,0.0002604166666666666
attack,cat__service_uucp,256,-0.0670094478785377,-0.0670094478785377,,0.0034567270777188246,0.00022720081575649205,0.0
attack,cat__service_uucp_path,256,0.2127027339492111,0.2894658775557654,0.20174026634221617,0.006270878595387231,3.003535198275623e-06,0.38359375000000007
attack,cat__service_vmnet,256,,,,0.0,0.0,0.0
attack,cat__service_whois,256,,,,0.0,0.0,0.0
attack,num__count,256,-0.009458865425750827,-0.07276268010947859,-0.08246663982523557,0.845060910779921,0.13884019488000787,0.10703125
attack,num__diff_srv_rate,256,-0.06136463292581885,-0.05606920152620005,0.06199983069840852,0.5696840118760065,0.056885817394998706,0.25911458333333337
attack,num__dst_bytes,256,0.1790018417175477,0.146817282483323,-0.15516935523314537,0.000924816895524016,2.512081810537095e-06,0.009114583333333332
attack,num__dst_host_count,256,0.07123366220556926,0.024660769555462144,0.04470014919645446,0.6330707825818536,0.038482623580329486,0.115625
attack,num__dst_host_diff_srv_rate,256,0.21718115998885876,0.22481507583338634,-0.19667775119464537,0.6746645529390207,0.13596795632869824,0.15546875000000002
attack,num__dst_host_rerror_rate,256,0.07345154364806374,0.11394949152680103,-0.06265767983777605,0.6130782702091437,0.0504570846634454,0.04453125
attack,num__dst_host_same_src_port_rate,256,0.09582662026134794,0.1106221080897579,-0.1442142477664415,0.6359175860970936,0.06524687021968568,0.02265625
